HoosID,pH,pH2,pH3,SampleName,16s.copynumber_g.dry.soil,ITScopynumbergdrysoil,nxrBcopynumbergdrysoil,amoAbaccopiesgdrysoil,amoAarchcopiesgdrysoil,hzaqtygdrysoil,NapAqtygdrysoil,NozIcopiesgdrysoil,NxrAcopiesgdrysoil,cNorBgdrysoil
H122,5.1,26.01,132.651,122,525197724.4,23970745.08,2207993.338,583171.449,2363144.833,16117363.96,28.12831335,4173617.119,1012138.008,37.56472808
H123,4.7,22.09,103.823,123,528598679.5,54028891.04,2248614.891,1101308.008,3427166.5,20065487.07,33.83493574,4282846.602,1308754.009,32.67033355
H124,4.76,22.6576,107.850176,124,779211968.9,68295477.59,1112599.945,1334689.349,3076740.948,1330399.274,34.54336233,3553508.224,2062223.633,36.29971005
H128,4.68,21.9024,102.503232,128,588462782.1,43242837.41,2077427.709,820918.7088,6631623.727,5443424.808,27.11466511,2452413.599,1970132.38,24.456223
H141,4.4,19.36,85.184,141,506821837.6,40449252.77,752673.6841,79068.37967,1929459.673,0,25.77255238,3548608.594,835967.4243,22.8282738
H145,4.21,17.7241,74.618461,145,261705912.8,13764200.75,240618.4525,93988.69217,793776.5057,0,13.42952696,1321484.601,204924.3036,11.91392391
H146,4.29,18.4041,78.953589,146,196645866,7216274.03,452728.6578,0,1482722.804,0,10.46961322,835028.4519,206033.0736,8.938782406
H147,4.3,18.49,79.507,147,487012626.5,31738784.46,301471.2364,25575.48,0,0,8.187858236,2096531.433,829723.4637,18.61693418
H148,4.12,16.9744,69.934528,148,1316062849,39617842.88,347397.3415,0,0,0,41.30270868,9828054.909,177165.6578,18.76256515
H150,4.04,16.3216,65.939264,150,137759801.9,4016895.51,201884.2084,14278.94602,0,0,9.709874098,1064338.513,95802.13257,8.205183339
H155,4.42,19.5364,86.350888,155,605663060.9,36892363.9,974248.4354,203631.4357,1488325.233,0,21.98875039,5158337.251,674369.4566,23.14196295
H157,4.28,18.3184,78.402752,157,635434818.8,31976379.76,925132.0001,36991.00657,5196119.063,1015335.604,18.72842376,2927971.198,499606.0263,28.93156561
H165,3.9,15.21,59.319,165,206210369.5,6592790.86,452470.0342,145009.2142,763413.555,304067.049,14.40282292,1273720.025,144533.6365,14.23484188
H166,3.8,14.44,54.872,166,182921302.6,6926078.68,344140.7877,4446.552989,384983.6422,0,23.02799663,4242688.229,88771.92924,16.74678304
H167,3.8,14.44,54.872,167,86701069.2,7269352.89,363806.8506,11962.7424,197673.4292,0,9.890633571,934952.5703,74983.3271,14.45522325
H168,3.94,15.5236,61.162984,A168,366099350.8,29104638.58,996975.4486,14847.37531,304527.6909,1341800.537,15.45829044,2013349.819,120477.4704,21.18638862
H170,3.82,14.5924,55.742968,170,76009149.18,5692954,400545.8832,0,83208.25974,296053.2379,11.38407315,920823.9555,63838.90629,7.994811313
H174,3.91,15.2881,59.776471,174,290561104.8,10923640.79,212867.7505,0,0,0,15.01226916,1342181.528,292946.494,12.98797391
H175,3.89,15.1321,58.863869,A175,298576116.9,3892686.46,525304.9979,25472.78764,383899.6398,0,16.46043363,1782442.382,185603.7039,19.69483179
H176,3.71,13.7641,51.064811,176,131171645.4,10989146.34,461333.3075,0,491393.4534,717446.9832,18.96435961,761145.4626,25836.01619,8.782022598
H177,3.95,15.6025,61.629875,A177,387076175.7,15805075.25,806780.3027,32607.26624,586519.6483,439963.8181,14.03798647,1531747.156,71617.38894,19.11173851
H179,3.82,14.5924,55.742968,179,164541862.7,16987542.65,313616.2143,0,179467.6851,0,10.63044388,1041018.977,170142.3885,5.599930532
H180,3.89,15.1321,58.863869,180,198079827.4,15658603.15,437420.3459,0,681583.5287,0,13.68825689,1057281.715,60236.36951,16.16645788
