,H100,H101,H102,H103,H104,H105,H106,H107,H108,H109,H110,H111,H112,H113,H114,H115,H116,H117,H118,H119,H120,H121,H122,H123,H124,H125,H126,H127,H128,H129,H130,H131,H132,H133,H134,H135,H136,H137,H138,H139,H140,H141,H142,H143,H144,H145,H146,H147,H148,H149,H150,H151,H152,H153,H154,H155,H156,H157,H158,H159,H160,H161,H162,H163,H164,H165,H166,H167,H168,H169,H170,H171,H172,H173,H174,H175,H176,H177,H178,H179,H180,H041,H042,H043,H044,H045,H046,H047,H048,H049,H050,H051,H052,H053,H054,H055,H056,H057,H058,H059,H060,H061,H062,H063,H064,H065,H066,H067,H068,H069,H070,H071,H072,H073,H074,H075,H076,H077,H078,H079,H080,H081,H082,H083,H084,H085,H086,H087,H088,H089,H090,H091,H092,H093,H094,H095,H096,H097,H098,H099,taxonomy,otu,old name,new_name,acc,%id,,,,,taxonomy,acc,%identity
Otu373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,1,0,0,3,1,0,1,1,0,0,2,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi,Otu373,Eukaryota;Opisthokonta;Nucletmycea;Fungi,#N/A,#N/A,#N/A,,,,Otu1054,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Monocystis; s__Monocystis+agilis,AF457127,98.2
Otu136,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,63,1,0,1,0,0,0,1,0,3,0,61,0,0,1,22,0,0,0,0,0,1,0,0,2,0,0,0,0,28,0,0,0,0,0,1,0,0,2,53,2,2,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Enoplea;Dorylaimia;Mononchida,Otu136,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Enoplea;Dorylaimia;Mononchida,d__Eukaryota; sg__Opisthokonta; p__Metazoa; c__Nematoda; o__Enoplea; f__Enoplea_X; g__Anatonchus; s__Anatonchus+tridentatus,AJ966474,98.86,,,,Otu1141,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,100
Otu1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Otu1651,Eukaryota,d__Eukaryota; sg__Amoebozoa; p__Conosa; c__Variosea; o__Variosea_X; f__WIM1-lineage; g__WIM1-lineage_X; s__WIM1-lineage_X+sp.,AB695494,91.43,,,,Otu1348,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF023236,92.57
Otu3224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Nassophorea,Otu3224,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Nassophorea,d__Eukaryota; sg__Alveolata; p__Ciliophora; c__Nassophorea; o__Nassophorea_X; f__Microthoracidae; g__Leptopharynx; s__Leptopharynx+costatus,HQ668467,97.14,,,,Otu1642,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,95.43
Otu680,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Oligohymenophorea;Peritrichia,Otu680,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Oligohymenophorea;Peritrichia,d__Eukaryota; sg__Alveolata; p__Ciliophora; c__Oligohymenophorea; o__Peritrichia; f__Epistylididae; g__Epistylis; s__Epistylis+galea,AF401527,93.79,,,,Otu1944,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp._strain8,EF024723,91.01
Otu1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep,Otu1404,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep,d__Eukaryota; sg__Alveolata; p__Ciliophora; c__Colpodea; o__Cyrtolophosidida; f__Cyrtolophosididae; g__Cyrtolophosis; s__Cyrtolophosis+minor,JQ723962,95.95,,,,Otu2533,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,93.06
Otu2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Tylenchida,Otu2371,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Tylenchida,d__Eukaryota; sg__Opisthokonta; p__Metazoa; c__Nematoda; o__Chromadorea; f__Chromadorea_X; g__Filenchus; s__Filenchus+sp.,KJ869338,91.61,,,,Otu2574,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,94.32
Otu2450,5,1,0,0,2,2,0,7,0,0,0,1,0,0,0,0,7,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,9,1,0,0,1,3,4,3,1,3,2,3,1,1,1,7,4,0,1,2,1,2,1,1,0,1,2,1,1,2,2,1,1,1,0,1,2,4,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,2,Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Rhizaspididae,Otu2450,Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Rhizaspididae,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Rhogostomidae; g__Rhogostomidae_X; s__Rhogostomidae_X+sp.,EF023764,100,,,,Otu2812,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,AY179988,93.06
Otu1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Incertae Sedis;Mucoromycotina;Incertae Sedis;Mucorales;Mucoraceae;Absidia,Otu1957,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Incertae Sedis;Mucoromycotina;Incertae Sedis;Mucorales;Mucoraceae;Absidia,#N/A,#N/A,#N/A,,,,Otu2832,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,94.29
Otu99,0,0,3,25,10,3,0,8,0,0,0,5,13,1,13,0,15,7,13,3,4,1,8,4,42,44,16,14,0,2,14,2,2,0,13,1,16,33,13,16,6,7,0,0,11,0,0,27,1,2,1,1,1,1,37,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,1,1,0,0,0,0,0,5,0,0,0,2,2,0,0,0,29,0,0,0,40,0,6,0,3,0,3,1,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae Sedis;Chytridiomycetes;Spizellomycetales,Otu99,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae Sedis;Chytridiomycetes;Spizellomycetales,#N/A,#N/A,#N/A,,,,Otu2954,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp._strain8,EF024723,90.91
Otu1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Amoebozoa,Otu1671,Eukaryota;Amoebozoa,#N/A,#N/A,#N/A,,,,Otu3188,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,AY179988,94.9
Otu50,1,30,16,6,21,38,8,1,0,17,8,42,16,10,6,6,23,14,14,10,15,6,20,7,21,9,19,26,5,20,27,51,5,18,9,15,39,28,0,5,14,6,2,6,12,3,1,16,4,21,4,1,3,6,2,2,7,0,5,0,1,1,12,3,0,9,4,1,2,1,6,0,0,4,0,0,2,1,0,2,3,13,1,1,5,1,3,8,2,3,1,4,0,1,3,2,1,5,14,2,11,2,2,9,4,2,7,5,33,10,3,46,22,14,0,1,14,12,10,3,9,8,9,5,35,9,1,0,1,60,4,19,35,2,0,9,9,22,12,10,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales,Otu50,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales,#N/A,#N/A,#N/A,,,,Otu3260,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Colpodellidae; f__Colpodellidae_X; g__Colpodellidae_XX; s__Colpodellidae_XX+sp.,GU067926,91.01
Otu724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi,Otu724,Eukaryota;Opisthokonta;Nucletmycea;Fungi,#N/A,#N/A,#N/A,,,,Otu3295,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Colpodellidae; f__Colpodellidae_X; g__Colpodellidae_XX; s__Colpodellidae_XX+sp.,KC487603,96
Otu324,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,5,4,2,0,0,2,0,0,0,0,0,0,18,0,2,0,3,82,4,1,10,9,4,3,22,1,1,19,3,16,10,19,0,2,12,8,0,15,0,2,3,0,7,10,229,0,8,1,19,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Otu324,Eukaryota,#N/A,#N/A,#N/A,,,,Otu528,d__Eukaryota; sg__Apusozoa; p__Apusomonadidae; c__Apusomonadidae_Group-1; o__Apusomonadidae_Group-1_X; f__Apusomonadidae_Group-1_XX; g__Apusomonas; s__Apusomonas+proboscidea,L37037,98.29
